-5	97.356
-4.8	70.466
-4.6	67.188
-4.4	105.46
-4.2	80.509
-4	78.149
-3.8	64.455
-3.6	122.79
-3.4	66.903
-3.2	54.286
-3	70.401
-2.8	65.119
-2.6	31.801
-2.4	65.258
-2.2	81.795
-2	38.755
-1.8	70.771
-1.6	44.522
-1.4	40.843
-1.2	13.114
-1	30.425
-0.8	36.951
-0.6	25.806
-0.4	30.454
-0.2	20.04
0	36.51
0.2	29.298
0.4	20.682
0.6	35.322
0.8	-31.74
1	27.648
1.2	46.917
1.4	2.3494
1.6	55.919
1.8	42.132
2	52.139
2.2	66.964
2.4	110.04
2.6	110.88
2.8	117.36
3	145.8
3.2	154.43
3.4	170.81
3.6	149.33
3.8	200.52
4	215.72
4.2	281.85
4.4	263.29
4.6	330.31
4.8	349.85
5	360.79
